,precision,recall,f1-score,support
neutrophil,0.96,0.96,0.96,667
eosinophil,0.95,0.96,0.96,639
ig,0.81,0.83,0.82,589
platelet,1.0,1.0,1.0,449
erythroblast,0.97,0.9,0.93,311
monocyte,0.87,0.78,0.82,289
basophil,0.83,0.9,0.86,222
lymphocyte,0.89,0.9,0.89,253
accuracy,,,0.91,3419
macro avg,0.91,0.9,0.91,3419
weighted avg,0.92,0.91,0.91,3419
