,precision,recall,f1-score,support
neutrophil,0.94,0.95,0.95,682
eosinophil,0.89,0.92,0.91,627
ig,0.76,0.76,0.76,590
platelet,0.99,1.0,0.99,449
erythroblast,0.92,0.9,0.91,311
monocyte,0.68,0.65,0.66,302
basophil,0.8,0.81,0.8,222
lymphocyte,0.89,0.85,0.87,236
accuracy,,,0.87,3419
macro avg,0.86,0.85,0.86,3419
weighted avg,0.87,0.87,0.87,3419
