,precision,recall,f1-score,support
neutrophil,0.97,0.92,0.94,667
eosinophil,0.91,0.97,0.94,639
ig,0.78,0.85,0.81,589
platelet,1.0,1.0,1.0,449
erythroblast,0.94,0.88,0.91,311
monocyte,0.92,0.73,0.82,289
basophil,0.85,0.88,0.87,222
lymphocyte,0.88,0.91,0.9,253
accuracy,,,0.9,3419
macro avg,0.91,0.89,0.9,3419
weighted avg,0.91,0.9,0.9,3419
