,precision,recall,f1-score,support
neutrophil,0.95,0.96,0.95,682
eosinophil,0.96,0.93,0.94,627
ig,0.81,0.82,0.82,590
platelet,0.99,1.0,0.99,449
erythroblast,0.95,0.94,0.95,311
monocyte,0.79,0.82,0.8,302
basophil,0.91,0.85,0.88,222
lymphocyte,0.88,0.92,0.9,236
accuracy,,,0.91,3419
macro avg,0.91,0.9,0.91,3419
weighted avg,0.91,0.91,0.91,3419
