,precision,recall,f1-score,support
neutrophil,0.87,0.96,0.91,667
eosinophil,0.95,0.9,0.93,639
ig,0.65,0.72,0.68,589
platelet,0.99,0.98,0.98,449
erythroblast,0.9,0.83,0.87,311
monocyte,0.67,0.62,0.64,289
basophil,0.76,0.64,0.7,222
lymphocyte,0.83,0.81,0.82,253
accuracy,,,0.84,3419
macro avg,0.83,0.81,0.82,3419
weighted avg,0.84,0.84,0.84,3419
