,precision,recall,f1-score,support
neutrophil,0.93,0.94,0.93,682
eosinophil,0.81,0.91,0.86,627
ig,0.63,0.73,0.67,590
platelet,0.99,0.99,0.99,449
erythroblast,0.92,0.79,0.85,311
monocyte,0.68,0.39,0.49,302
basophil,0.72,0.73,0.73,222
lymphocyte,0.88,0.83,0.86,236
accuracy,,,0.82,3419
macro avg,0.82,0.79,0.8,3419
weighted avg,0.82,0.82,0.82,3419
