,precision,recall,f1-score,support
neutrophil,0.97,0.97,0.97,667
eosinophil,1.0,0.98,0.99,639
ig,0.84,0.87,0.86,589
platelet,0.99,0.99,0.99,449
erythroblast,0.97,0.88,0.92,311
monocyte,0.8,0.86,0.83,289
basophil,0.91,0.87,0.89,222
lymphocyte,0.9,0.93,0.92,253
accuracy,,,0.93,3419
macro avg,0.92,0.92,0.92,3419
weighted avg,0.93,0.93,0.93,3419
