,precision,recall,f1-score,support
neutrophil,0.92,0.97,0.95,682
eosinophil,0.93,0.96,0.95,627
ig,0.64,0.67,0.66,590
platelet,0.97,0.99,0.98,449
erythroblast,0.92,0.79,0.85,311
monocyte,0.59,0.41,0.49,302
basophil,0.73,0.86,0.79,222
lymphocyte,0.79,0.82,0.81,236
accuracy,,,0.84,3419
macro avg,0.81,0.81,0.81,3419
weighted avg,0.83,0.84,0.83,3419
