,precision,recall,f1-score,support
neutrophil,0.75,0.72,0.73,222
eosinophil,0.87,0.92,0.9,639
ig,0.97,0.83,0.89,311
platelet,0.7,0.78,0.74,589
erythroblast,0.9,0.85,0.87,253
monocyte,0.85,0.66,0.74,289
basophil,0.86,0.9,0.88,667
lymphocyte,1.0,1.0,1.0,449
accuracy,,,0.85,3419
macro avg,0.86,0.83,0.84,3419
weighted avg,0.86,0.85,0.85,3419
