,precision,recall,f1-score,support
neutrophil,0.93,0.95,0.94,667
eosinophil,0.96,0.96,0.96,639
ig,0.84,0.8,0.82,589
platelet,1.0,1.0,1.0,449
erythroblast,0.97,0.94,0.96,311
monocyte,0.75,0.83,0.79,289
basophil,0.86,0.86,0.86,222
lymphocyte,0.94,0.9,0.92,253
accuracy,,,0.91,3419
macro avg,0.91,0.91,0.91,3419
weighted avg,0.91,0.91,0.91,3419
