,precision,recall,f1-score,support
neutrophil,0.97,0.98,0.97,667
eosinophil,0.99,0.99,0.99,639
ig,0.9,0.9,0.9,589
platelet,1.0,0.99,1.0,449
erythroblast,0.95,0.95,0.95,311
monocyte,0.87,0.91,0.89,289
basophil,0.97,0.89,0.93,222
lymphocyte,0.94,0.95,0.95,253
accuracy,,,0.95,3419
macro avg,0.95,0.95,0.95,3419
weighted avg,0.95,0.95,0.95,3419
