,precision,recall,f1-score,support
neutrophil,0.96,0.97,0.96,682
eosinophil,0.98,0.99,0.98,627
ig,0.9,0.8,0.85,590
platelet,1.0,1.0,1.0,449
erythroblast,0.96,0.93,0.95,311
monocyte,0.79,0.95,0.87,302
basophil,0.89,0.92,0.91,222
lymphocyte,0.9,0.89,0.9,236
accuracy,,,0.93,3419
macro avg,0.92,0.93,0.93,3419
weighted avg,0.94,0.93,0.93,3419
