,precision,recall,f1-score,support
neutrophil,0.9,0.94,0.92,667
eosinophil,0.94,0.89,0.92,639
ig,0.73,0.8,0.76,589
platelet,1.0,0.99,0.99,449
erythroblast,0.89,0.92,0.9,311
monocyte,0.63,0.61,0.62,289
basophil,0.86,0.7,0.77,222
lymphocyte,0.89,0.87,0.88,253
accuracy,,,0.86,3419
macro avg,0.86,0.84,0.85,3419
weighted avg,0.86,0.86,0.86,3419
