,precision,recall,f1-score,support
neutrophil,0.83,0.55,0.66,222
eosinophil,0.96,0.95,0.95,639
ig,0.91,0.77,0.84,311
platelet,0.65,0.84,0.74,589
erythroblast,0.81,0.8,0.8,253
monocyte,0.88,0.56,0.68,289
basophil,0.86,0.94,0.9,667
lymphocyte,0.98,0.99,0.99,449
accuracy,,,0.85,3419
macro avg,0.86,0.8,0.82,3419
weighted avg,0.86,0.85,0.85,3419
