,precision,recall,f1-score,support
neutrophil,0.97,0.98,0.98,682
eosinophil,0.99,0.99,0.99,627
ig,0.89,0.89,0.89,590
platelet,0.97,0.99,0.98,449
erythroblast,0.94,0.89,0.91,311
monocyte,0.89,0.85,0.87,302
basophil,0.89,0.88,0.88,222
lymphocyte,0.9,0.96,0.93,236
accuracy,,,0.94,3419
macro avg,0.93,0.93,0.93,3419
weighted avg,0.94,0.94,0.94,3419
