,precision,recall,f1-score,support
neutrophil,0.95,0.94,0.95,682
eosinophil,0.93,0.95,0.94,627
ig,0.65,0.72,0.69,590
platelet,0.98,0.99,0.99,449
erythroblast,0.89,0.8,0.84,311
monocyte,0.69,0.6,0.64,302
basophil,0.76,0.76,0.76,222
lymphocyte,0.79,0.78,0.79,236
accuracy,,,0.85,3419
macro avg,0.83,0.82,0.82,3419
weighted avg,0.85,0.85,0.85,3419
