,precision,recall,f1-score,support
neutrophil,0.91,0.92,0.91,682
eosinophil,0.62,0.93,0.74,627
ig,0.78,0.59,0.67,590
platelet,0.99,0.98,0.99,449
erythroblast,0.86,0.86,0.86,311
monocyte,0.65,0.43,0.52,302
basophil,0.89,0.56,0.69,222
lymphocyte,0.87,0.88,0.87,236
accuracy,,,0.8,3419
macro avg,0.82,0.77,0.78,3419
weighted avg,0.81,0.8,0.79,3419
