,precision,recall,f1-score,support
neutrophil,0.86,0.7,0.77,222
eosinophil,0.87,0.9,0.88,627
ig,0.94,0.88,0.91,311
platelet,0.67,0.73,0.7,590
erythroblast,0.84,0.81,0.83,236
monocyte,0.73,0.6,0.66,302
basophil,0.88,0.94,0.91,682
lymphocyte,0.99,1.0,1.0,449
accuracy,,,0.85,3419
macro avg,0.85,0.82,0.83,3419
weighted avg,0.85,0.85,0.84,3419
