,precision,recall,f1-score,support
neutrophil,0.97,0.97,0.97,667
eosinophil,0.96,0.98,0.97,639
ig,0.88,0.89,0.88,589
platelet,1.0,1.0,1.0,449
erythroblast,0.97,0.95,0.96,311
monocyte,0.92,0.88,0.9,289
basophil,0.86,0.91,0.88,222
lymphocyte,0.96,0.91,0.93,253
accuracy,,,0.94,3419
macro avg,0.94,0.94,0.94,3419
weighted avg,0.94,0.94,0.94,3419
