,precision,recall,f1-score,support
neutrophil,0.59,0.61,0.6,222
eosinophil,0.92,0.83,0.87,639
ig,0.89,0.74,0.81,311
platelet,0.65,0.77,0.71,589
erythroblast,0.74,0.75,0.74,253
monocyte,0.65,0.47,0.55,289
basophil,0.82,0.93,0.87,667
lymphocyte,0.99,0.97,0.98,449
accuracy,,,0.8,3419
macro avg,0.78,0.76,0.77,3419
weighted avg,0.8,0.8,0.8,3419
