,precision,recall,f1-score,support
neutrophil,0.9,0.93,0.91,667
eosinophil,0.86,0.85,0.85,639
ig,0.74,0.8,0.77,589
platelet,0.99,0.99,0.99,449
erythroblast,0.91,0.83,0.87,311
monocyte,0.69,0.63,0.66,289
basophil,0.8,0.77,0.79,222
lymphocyte,0.85,0.86,0.86,253
accuracy,,,0.85,3419
macro avg,0.84,0.83,0.84,3419
weighted avg,0.85,0.85,0.85,3419
