,precision,recall,f1-score,support
neutrophil,0.62,0.62,0.62,222
eosinophil,0.81,0.82,0.82,627
ig,0.89,0.78,0.83,311
platelet,0.62,0.67,0.65,590
erythroblast,0.78,0.77,0.77,236
monocyte,0.7,0.58,0.63,302
basophil,0.84,0.89,0.86,682
lymphocyte,0.99,0.99,0.99,449
accuracy,,,0.79,3419
macro avg,0.78,0.76,0.77,3419
weighted avg,0.79,0.79,0.79,3419
