,precision,recall,f1-score,support
neutrophil,0.95,0.94,0.94,667
eosinophil,0.94,0.91,0.92,639
ig,0.66,0.77,0.72,589
platelet,1.0,0.99,1.0,449
erythroblast,0.94,0.86,0.9,311
monocyte,0.7,0.58,0.64,289
basophil,0.77,0.77,0.77,222
lymphocyte,0.82,0.85,0.83,253
accuracy,,,0.86,3419
macro avg,0.85,0.83,0.84,3419
weighted avg,0.86,0.86,0.86,3419
