,precision,recall,f1-score,support
neutrophil,0.95,0.95,0.95,667
eosinophil,0.92,0.92,0.92,639
ig,0.83,0.83,0.83,589
platelet,0.99,0.98,0.99,449
erythroblast,0.86,0.87,0.87,311
monocyte,0.81,0.76,0.79,289
basophil,0.85,0.86,0.85,222
lymphocyte,0.88,0.91,0.9,253
accuracy,,,0.9,3419
macro avg,0.89,0.89,0.89,3419
weighted avg,0.9,0.9,0.9,3419
