,precision,recall,f1-score,support
neutrophil,0.75,0.64,0.69,222
eosinophil,0.94,0.92,0.93,639
ig,0.9,0.78,0.84,311
platelet,0.7,0.81,0.75,589
erythroblast,0.8,0.76,0.78,253
monocyte,0.85,0.74,0.79,289
basophil,0.86,0.92,0.89,667
lymphocyte,1.0,0.98,0.99,449
accuracy,,,0.85,3419
macro avg,0.85,0.82,0.83,3419
weighted avg,0.86,0.85,0.85,3419
