,precision,recall,f1-score,support
neutrophil,0.96,0.98,0.97,682
eosinophil,1.0,0.98,0.99,627
ig,0.84,0.89,0.86,590
platelet,0.98,0.99,0.98,449
erythroblast,0.9,0.87,0.88,311
monocyte,0.89,0.81,0.85,302
basophil,0.78,0.79,0.79,222
lymphocyte,0.88,0.86,0.87,236
accuracy,,,0.92,3419
macro avg,0.9,0.89,0.9,3419
weighted avg,0.92,0.92,0.92,3419
