,precision,recall,f1-score,support
neutrophil,0.95,0.96,0.96,682
eosinophil,0.98,0.98,0.98,627
ig,0.79,0.82,0.81,590
platelet,0.97,0.98,0.98,449
erythroblast,0.91,0.85,0.88,311
monocyte,0.79,0.79,0.79,302
basophil,0.75,0.69,0.72,222
lymphocyte,0.89,0.89,0.89,236
accuracy,,,0.9,3419
macro avg,0.88,0.87,0.88,3419
weighted avg,0.9,0.9,0.9,3419
