,precision,recall,f1-score,support
neutrophil,0.94,0.95,0.95,682
eosinophil,0.95,0.93,0.94,627
ig,0.78,0.77,0.78,590
platelet,0.97,0.99,0.98,449
erythroblast,0.87,0.78,0.83,311
monocyte,0.78,0.72,0.75,302
basophil,0.76,0.87,0.81,222
lymphocyte,0.77,0.85,0.8,236
accuracy,,,0.87,3419
macro avg,0.85,0.86,0.85,3419
weighted avg,0.87,0.87,0.87,3419
